Size,Features,Traits,Proportion
10,5,5,1
10,5,5,1
10,5,5,1
10,5,5,1
10,5,5,1
10,5,5,1
10,5,5,1
10,5,5,0.94
10,5,5,1
10,5,5,1
10,5,10,0.65
10,5,10,1
10,5,10,0.92
10,5,10,0.74
10,5,10,0.92
10,5,10,0.89
10,5,10,1
10,5,10,0.96
10,5,10,0.99
10,5,10,0.64
10,5,15,0.44
10,5,15,0.4
10,5,15,0.18
10,5,15,0.21
10,5,15,0.91
10,5,15,0.35
10,5,15,0.28
10,5,15,0.26
10,5,15,0.22
10,5,15,0.9
10,10,5,1
10,10,5,1
10,10,5,1
10,10,5,1
10,10,5,1
10,10,5,1
10,10,5,1
10,10,5,1
10,10,5,1
10,10,5,1
10,10,10,1
10,10,10,1
10,10,10,1
10,10,10,1
10,10,10,1
10,10,10,1
10,10,10,1
10,10,10,1
10,10,10,1
10,10,10,1
10,10,15,1
10,10,15,1
10,10,15,1
10,10,15,1
10,10,15,0.98
10,10,15,1
10,10,15,0.95
10,10,15,0.98
10,10,15,1
10,10,15,1
10,15,5,1
10,15,5,1
10,15,5,1
10,15,5,1
10,15,5,1
10,15,5,1
10,15,5,1
10,15,5,1
10,15,5,1
10,15,5,1
10,15,10,1
10,15,10,1
10,15,10,1
10,15,10,1
10,15,10,1
10,15,10,1
10,15,10,1
10,15,10,1
10,15,10,1
10,15,10,1
10,15,15,1
10,15,15,1
10,15,15,1
10,15,15,1
10,15,15,1
10,15,15,1
10,15,15,0.99
10,15,15,1
10,15,15,1
10,15,15,1
20,5,5,0.8325
20,5,5,1
20,5,5,0.51
20,5,5,0.6775
20,5,5,0.8275
20,5,5,1
20,5,5,1
20,5,5,1
20,5,5,0.5275
20,5,5,0.58
20,5,10,1
20,5,10,0.735
20,5,10,0.8275
20,5,10,0.8525
20,5,10,0.295
20,5,10,0.71
20,5,10,0.705
20,5,10,0.6925
20,5,10,0.2375
20,5,10,0.635
20,5,15,0.38
20,5,15,0.7625
20,5,15,0.2725
20,5,15,0.7225
20,5,15,0.3025
20,5,15,0.065
20,5,15,0.55
20,5,15,0.1325
20,5,15,0.0925
20,5,15,0.39
20,10,5,0.52
20,10,5,0.83
20,10,5,0.255
20,10,5,0.4575
20,10,5,0.705
20,10,5,0.4275
20,10,5,0.6525
20,10,5,0.4375
20,10,5,0.23
20,10,5,0.2675
20,10,10,0.2325
20,10,10,0.2425
20,10,10,0.18
20,10,10,0.8975
20,10,10,0.16
20,10,10,0.13
20,10,10,0.565
20,10,10,0.2825
20,10,10,0.14
20,10,10,0.3375
20,10,15,0.23
20,10,15,0.1425
20,10,15,0.32
20,10,15,0.21
20,10,15,0.15
20,10,15,0.21
20,10,15,0.135
20,10,15,0.085
20,10,15,0.1225
20,10,15,0.2025
20,15,5,0.1325
20,15,5,0.0925
20,15,5,0.085
20,15,5,0.06
20,15,5,0.0375
20,15,5,0.075
20,15,5,0.1
20,15,5,0.1025
20,15,5,0.02
20,15,5,0.0725
20,15,10,0.045
20,15,10,0.085
20,15,10,0.025
20,15,10,0.0425
20,15,10,0.05
20,15,10,0.0475
20,15,10,0.1
20,15,10,0.095
20,15,10,0.025
20,15,10,0.055
20,15,15,0.0525
20,15,15,0.02
20,15,15,0.035
20,15,15,0.02
20,15,15,0.0575
20,15,15,0.0575
20,15,15,0.0375
20,15,15,0.08
20,15,15,0.0325
20,15,15,0.0775
